ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,LCSC Assembly
1,AZ5125-02S.R7G,D1,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,1,AZ5125-02S.R7G,AMAZING,LCSC,C356820,
2,ATMEGA32U4-AU,ATMEGA32U4-AU,QFP-44_10X10X08P,1,ATMEGA32U4-AU,MICROCHIP,LCSC,C44854,Yes
3,LTST-C21TBKT,PWR1,LED-SMD-3.2X1.6X1.1,1,LTST-C21TBKT,Lite-On,LCSC,C284941,
4,LTST-C21KGKT,IO1,LED-SMD_L3.2-W1.6-RD-EH,1,LTST-C21KGKT,Lite-On,LCSC,C284938,
5,1K,RN1,1206_X4,1,CRA064RJ1KE04,EVER OHMS,LCSC,C149873,
6,1K,R4,0805',1,0805W8F1001T5E,UniOhm,LCSC,C17513,Yes
7,LTST-C21KSKT,"TX1,RX1",LED-SMD_L3.2-W1.6-RD-EH,2,LTST-C21KSKT,Lite-On,LCSC,C284940,
8,22pF,"C4,C3",0805',2,0805CG220J500NT,FH,LCSC,C24658,
9,30Î©,L1,0805',1,MLB2012-300P3A(f),ReliaPro,LCSC,C50503,
10,LP2985-33DBVR,U4,SOT-23-5,1,LP2985-33DBVR,TI,LCSC,C95414,Yes
11,100nF,"C8,C5,C2,C10",0603',4,0603B104J500NT,FH,LCSC,C88136,
12,micro USBFemale,USB1,MICRO-USB-1,1,micro USBFemale,ValuePro,LCSC,C10418,
13,16MHz,X1,TXAL-2*6,1,X206016MSD2SC,YXC,LCSC,C2174,
14,1uF,"C11,C7,C6",0603',3,UMK107AB7105KA-T,TAIYO YUDEN,LCSC,C105174,
15,FDN340P,"Q1,Q2",SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,2,FDN340P,FAIRCHILD,LCSC,C75469,Yes
16,TSA063G50-250,RESET,SW-SMD-T6X6-9.5X5.8,1,TSA063G50-250,BRIGHT,LCSC,C294565,
17,Header-Male-2.54_1x20,"J1,J2",HDR-TH_20PIN-V-MALE-PITCH2.54,2,2.54mm 1*20PHeader,BOOMELE,LCSC,C50981,
18,22,"R2,R3",0805',2,0805W8J0220T5E,UniOhm,LCSC,C25295,
19,22uF,"C1,C9",CAP-SMD_BD5.0-L5.3-W5.3-FD,2,RVT1V220M0505,HONOR,LCSC,C23289,
20,LM1117F-5.0,U1,SOT-89(SOT-89-3),1,LM1117F-5.0,HTC,LCSC,C126020,Yes
21,10K,"R5,R1",0805',2,RC0805FR-0710KL,YAGEO,LCSC,C84376,
22,SMD1206P050TF/15,F1,FUSE-1206,1,SMD1206P050TF/15,PTTC,LCSC,C106264,
23,"MICROPHONE, 4.6 MM, ELECTRET CON",,"MICROPHONE, 4.6 MM, ELECTRET CON",1,CMEJ-4618-42-L015,CUI Devices,Digi-Key,,
24,IC MCU 8BIT 32KB FLASH 44TQFP,,44TQFP,1,ATMEGA32U4-AUR,Microchip Technology,Digi-Key,,
